======================================================================
--- STARTING: 05_NORMALIZE_CLEANED_DUAL_GPU_DATA ---
======================================================================
Found 1 cleaned dual GPU directories. Using 8 cores.


--- Processing Directory: dual_gpu_0000_parquet_to_0019_parquet_cleaned ---
[*] Created shortcut for dual_gpu_0000_parquet_to_0019_parquet_cleaned_normalized in outputs folder.

Pass 1: Finding ACTUAL global max power...

ACTUAL GLOBAL MAX POWER DRAW = 332.510 W

Pass 2: Analyzing GLOBAL power draw distribution...

GLOBAL POWER DRAW SCALE (P99.9) = 267.500 W

Starting parallel processing on 6631 files...
[DEBUG] Skipped 68844552501361-r4327055-n139058_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 69434149236512-r5715171-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 70254063774693-r7343737-n830961_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 70422582738411-r8939293-n208530_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 70828339441825-r5715171-n208530_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 71291159139896-r3741709-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 7165386621075-r1457839-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 71932653588148-r4774426-n172998_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 72355294997468-r4179716-n851693_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 72662267086148-r9192091-n830961_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 73266657991629-r8062914-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 73373299227106-r4179716-n911952_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 73978860495338-r5715171-n208530_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 74205296626709-r6272977-n386398_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 74391312798234-r8579942-n139058_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 75093216222073-r3741709-n685852_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 75237623618207-r9535192-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 75744517304667-r8937440-n830961_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 76908426868746-r9040233-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 77093109511987-r9720335-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 7739838098491-r4327055-n139058_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 77685692909528-r7343737-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 78154663373757-r9175025-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 78276421054843-r2652301-n911952_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 7831420751530-r4822976-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 78431405125636-r9720335-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 78675473546452-r5573787-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 79156712410788-r8937440-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 79172815573261-r5189505-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 79927651894095-r9555635-n139058_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 80260171354386-r9040233-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 80727740131207-r4858666-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 80791567490367-r2100214-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 80791567490367-r8937440-n830961_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 81063456214830-r6272977-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 81326066726811-r1682297-n386398_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 8163537168358-r9192091-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 83148302631554-r1457839-n386398_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 83977646907101-r7217787-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 84071765465148-r2652301-n976057_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 84355782659872-r9720335-n911952_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 84940699444035-r9102715-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 85222259681000-r9192091-n685852_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 85318029126226-r9189566-n830961_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 86076874787978-r3741709-n685852_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 8708012364677-r6760045-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 87121486963220-r9720335-n386398_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 88762582026009-r4822976-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
